Title,Author
Next Summer,"Abbott, Hailey"
Summer Girls,"Abbott, Hailey"
In the Belly of the Beast: Letters From Prison,"Abbott, Jack Henry"
The End of Everything,"Abbott, Megan"
The Summer of Owen Todd,"Abbott, Tony"
Does My Head Look Big in This?,"Abdel-Fattah, Randa"
Dr. Jekyll and Mr. Hyde,"Abdo, Kenny"
The Pool Was Empty,"Abier, Gilles"
Ace of Spades,"Àbíké-Íyímídé, Faridah"
Gender Identity (AA),"Abraham, Anika"
Bullet Point,"Abrahams, Peter"
Hate Crimes in America,"Abramovitz, Melissa"
Crazy Love,"Abrams, Amir."
Clap When You Land,"Acevedo, Elizabeth"
The Poet X,"Acevedo, Elizabeth"
With the Fire on High,"Acevedo, Elizabeth"
The Closest I've Come,"Aceves, Fred"
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel"
Call Me By Your Name,"Aciman, André"
"How I Paid for College: A Novel of Sex, Theft, Friendship and Musical Theater","Acito, Marc"
Things You Shouldn't Say Past Midnight: A Comedy in Three Beds,"Ackerman, Peter"
"Life, the Universe and Everything","Adams, Douglas"
Mostly Harmless,"Adams, Douglas"
So Long and Thanks for All the Fish,"Adams, Douglas"
The Hitchhiker's Guide to the Galaxy,"Adams, Douglas"
The Restaurant at the End of the Universe,"Adams, Douglas"
Tales From Watership Down,"Adams, Richard"
"Sparks: The epic, Completely True Blue, (Almost) Holy Quest of Debbie","Adams, S.J."
Children of Blood and Bone,"Adeyemi, Tomi"
Children of Virtue and Vengeance,"Adeyemi, Tomi"
Americanah,"Adichie, Chimamanda Ngozi"
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi"
Cool for the Summer,"Adler, Dahlia"
His Hideous Heart: Thirteen of Edgar Allan Poe's Most Unsettling Tales Reimagined,"Adler, Dahlia"
A Picture Book of Anne Frank,"Adler, David A."
Names Will Never Hurt Me,"Adoff, Jaime"
The Death of Jayson Porter,"Adoff, Jaime"
Ghost House,"Adornetto, Alexandra"
Hades,"Adornetto, Alexandra"
Halo,"Adornetto, Alexandra"
Heaven,"Adornetto, Alexandra"
Prometheus Bound,Aeschylus
The Accidental Adventures of India McAllister,"Agell, Charlotte"
Flame in the Mist,"Ahdieh, Renée"
Smoke in the Sun,"Ahdieh, Renée"
The Beautiful,"Ahdieh, Renée"
The Damned,"Ahdieh, Renée"
The Rose and the Dagger,"Ahdieh, Renée"
The Wrath and The Dawn,"Ahdieh, Renée"
Girl Gone Viral,"Ahmadi, Arvin"
How It All Blew Up,"Ahmadi, Arvin"
A Cave in the Clouds: A Young Woman's Escape from Isis,"Ahmed, Badeeah Hassan"
Internment,"Ahmed, Samira"
"Mad, Bad and Dangerous to Know","Ahmed, Samira"
Sing No Evil,"Ahonen, J.P."
Changes: A Love Story,"Aidoo, Ama Ata"
River of Darkness,"Airth, Rennie"
Say You're One of Them,"Akpan, Uwem"
Seven Deadly Shadows,"Alameda, Courtney"
Shutter,"Alameda, Courtney"
The Hazel Wood: a novel,"Albert, Melissa"
Here's to Us,"Albertalli, Becky"
Kate in Waiting,"Albertalli, Becky"
Leah on the Offbeat,"Albertalli, Becky"
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky"
The Upside of Unrequited,"Albertalli, Becky"
What If It's Us,"Albertalli, Becky"
Yes No Maybe So,"Albertalli, Becky"
Altered,"Albin, Gennifer"
Crewel,"Albin, Gennifer"
Unraveled,"Albin, Gennifer"
Sofi Mendoza's Guide to Getting Lost in Mexico,"Alegría, Malín."
As Dead As It Gets,"Alender, Katie"
Bad Girls Don't Die,"Alender, Katie"
From Bad to Cursed,"Alender, Katie"
Gift of the Unmage,"Alexander, Alma"
Catherine the Great: Life and Legend,"Alexander, John T."
Flying Lessons and Other Stories,"Alexander, Kwame"
"He Said, She Said","Alexander, Kwame"
Solo,"Alexander, Kwame"
Swing,"Alexander, Kwame"
Reservation Blues,"Alexie, Sherman"
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman"
Girls Like Us (2019),"Alger, Cristina"
The Gods and Goddesses of Olympus,Aliki
Tales of Mystery and Imagination,"Allan, Tony"
Titans and Olympians: Greek and Roman Myth,"Allan, Tony"
Triumph of the hero: Greek and Roman Myth,"Allan, Tony"
The Line Tender,"Allen, Kate"
17 First Kisses,"Allen, Rachael"
A Taxonomy of Love,"Allen, Rachael"
Harley Quinn: Reckoning,"Allen, Rachael"
In the Midst of Winter,"Allende, Isabel"
The House of the Spirits,"Allende, Isabel"
Zorro,"Allende, Isabel"
Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony"
Bastard out of Carolina,"Allison, Dorothy"
Giant Days,"Allison, John"
Counting Stars,"Almond, David"
The Tightrope Walkers,"Almond, David"
Counterfeit Son,"Alphin, Elaine Marie"
Canary,"Alpine, Rachele"
Never Always Sometimes,"Alsaid, Adi"
Primal Waters,"Alten, Steve"
Resurrection,"Alten, Steve"
The Loch,"Alten, Steve"
How the Garcia Girls Lost Their Accents,"Alvarez, Julia"
In the Time of the Butterflies,"Alvarez, Julia"
Because You Love to Hate Me: 13 Tales of Villainy,Ameriie
The Usborne first thousand words in Spanish : with easy pronunciation guide,"Amery, Heather"
Zahra's Paradise,Amir
The Blood of Flowers,"Amirrezvani, Anita"
"Bless Me, Ultima","Anaya, Rudolfo"
Murder of Crows,"Ancrum, K."
All the Birds in the Sky,"Anders, Charlie Jane"
Baroque and Rococo art,"Andersen, Liselotte"
Midnight at the Electric,"Anderson, Jodi Lynn"
Peaches,"Anderson, Jodi Lynn"
The Vanishing Season,"Anderson, Jodi Lynn"
Catalyst,"Anderson, Laurie Halse"
Chains,"Anderson, Laurie Halse"
Prom,"Anderson, Laurie Halse"
Shout,"Anderson, Laurie Halse"
Speak,"Anderson, Laurie Halse"
Speak: The Graphic Novel,"Anderson, Laurie Halse"
The Impossible Knife of Memory,"Anderson, Laurie Halse"
Twisted,"Anderson, Laurie Halse"
Wintergirls,"Anderson, Laurie Halse"
Feed,"Anderson, M. T."
"The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume I: The Pox Party","Anderson, M. T."
The Daughters of Ys,"Anderson, M. T."
Thirsty,"Anderson, M. T."
"The Astonishing Life of Octavian Nothing, Traitor to the Nation, Volume II: The Kingdom on the Waves","Anderson, M.T."
Let's Go Swimming on Doomsday,"Anderson, Natalie C."
Quicksilver,"Anderson, R. J."
Ultraviolet,"Anderson, R. J."
Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,"Andrews, Arin"
Me and Earl and the Dying Girl,"Andrews, Jesse"
Munmun,"Andrews, Jesse"
The Haters,"Andrews, Jesse"
Un final para Rachel,"Andrews, Jesse"
Garden of Shadows,"Andrews, V. C."
Petals on the Wind,"Andrews, V. C."
Flowers in the Attic,"Andrews, V.C."
If There Be Thorns,"Andrews, V.C."
And Still I Rise,"Angelou, Maya"
Gather Together in My Name,"Angelou, Maya"
I Know Why The Caged Bird Sings,"Angelou, Maya"
Now Sheba Sings the Song,"Angelou, Maya"
Singin' and Swingin' and Gettin' Merry Like Christmas,"Angelou, Maya"
The Heart of a Woman,"Angelou, Maya"
A Different Season,Anonymous
"Annie's Baby: The Diary of Anonymous, a Pregnant Teenager",Anonymous
Being You,Anonymous
Feminism,Anonymous
Lucy in the Sky,Anonymous
The Bible Book,Anonymous
The Book of David,Anonymous
The Holy Bible (King James Version),Anonymous
And Eternity,"Anthony, Piers"
Castle Roogna,"Anthony, Piers"
On A Pale Horse,"Anthony, Piers"
Keeper,"Appelt, Kathi"
Manga Shakespeare: A Midsummer Night's Dream,"Appignanesi, Richard"
The One and Only Bob,"Applegate, Katherine"
The One and Only Ivan,"Applegate, Katherine"
Wishtree,"Applegate, Katherine"
"Fullmetal Alchemist (Series, Title Not Specified)","Arakawa, Hiromu"
Sons of Fortune,"Archer, Jeffrey"
Crazy Messy Beautiful,"Arcos, Carrie"
Four Plays by Aristophanes: The Birds; The Clouds; The Frogs; Lysistrata,Aristophanes
Almost Flying,"Arlow, Jake Maia"
American Roommate Experiment,"Armas, Elena"
Spanish Love Deception,"Armas, Elena"
The Spanish Love Deception,"Armas, Elena"
A Shadow in the Ember,"Armentrout, Jennifer L."
Cursed (JLA),"Armentrout, Jennifer L."
Don't Look Back,"Armentrout, Jennifer L."
From Blood and Ash,"Armentrout, Jennifer L."
Grace and Glory,"Armentrout, Jennifer L."
If There's No Tomorrow,"Armentrout, Jennifer L."
Meet Cute: Some People Are Destined to Meet,"Armentrout, Jennifer L."
Oblivion,"Armentrout, Jennifer L."
Obsidian,"Armentrout, Jennifer L."
Opposition,"Armentrout, Jennifer L."
Origin,"Armentrout, Jennifer L."
Rage and Ruin,"Armentrout, Jennifer L."
Shadows,"Armentrout, Jennifer L."
Storm and Fury,"Armentrout, Jennifer L."
White Hot Kiss,"Armentrout, Jennifer L."
Nightbirds,"Armstrong, Kate J."
Aftermath,"Armstrong, Kelley"
City of the Lost: A Rockton Novel,"Armstrong, Kelley"
Sea of Shadows,"Armstrong, Kelley"
The Awakening (KA),"Armstrong, Kelley"
The Gathering (KA),"Armstrong, Kelley"
The Masked Truth,"Armstrong, Kelley"
The Reckoning,"Armstrong, Kelley"
Mosquitoland,"Arnold, David"
The Electric Kingdom,"Arnold, David"
Damsel,"Arnold, Elana K."
Infandous,"Arnold, Elana K."
