Title,Author,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
Next Summer,"Abbott, Hailey",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Summer Girls,"Abbott, Hailey",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
In the Belly of the Beast: Letters From Prison,"Abbott, Jack Henry",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The End of Everything,"Abbott, Megan",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Summer of Owen Todd,"Abbott, Tony",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Does My Head Look Big in This?,"Abdel-Fattah, Randa",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Dr. Jekyll and Mr. Hyde,"Abdo, Kenny",Texas,North East Independent School District,June 2024,Banned,Administration
The Pool Was Empty,"Abier, Gilles",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Ace of Spades,"Àbíké-Íyímídé, Faridah",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Gender Identity (AA),"Abraham, Anika",Kentucky,Boyle County Schools,October 2023,Banned,Administration
Bullet Point,"Abrahams, Peter",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Hate Crimes in America,"Abramovitz, Melissa",Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
Crazy Love,"Abrams, Amir.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Clap When You Land,"Acevedo, Elizabeth",Florida,Charlotte County Public Schools,August 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",Florida,Charlotte County Public Schools,August 2023,Banned,Administration
With the Fire on High,"Acevedo, Elizabeth",Florida,Clay County School District,December 2023,Banned,Formal Challenge
The Closest I've Come,"Aceves, Fred",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Uncomfortable Conversations with a Black Boy,"Acho, Emmanuel",Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
Call Me By Your Name,"Aciman, André",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned,Formal Challenge
"How I Paid for College: A Novel of Sex, Theft, Friendship and Musical Theater","Acito, Marc",Florida,Clay County School District,July 2023,Banned,Formal Challenge
Things You Shouldn't Say Past Midnight: A Comedy in Three Beds,"Ackerman, Peter",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
"Life, the Universe and Everything","Adams, Douglas",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Mostly Harmless,"Adams, Douglas",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
So Long and Thanks for All the Fish,"Adams, Douglas",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Hitchhiker's Guide to the Galaxy,"Adams, Douglas",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Restaurant at the End of the Universe,"Adams, Douglas",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Tales From Watership Down,"Adams, Richard",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
"Sparks: The epic, Completely True Blue, (Almost) Holy Quest of Debbie","Adams, S.J.",Florida,Clay County School District,November 2023,Banned,Formal Challenge
Children of Blood and Bone,"Adeyemi, Tomi",Florida,Escambia County Public Schools,November 2023,Banned by restriction,Administration
Children of Virtue and Vengeance,"Adeyemi, Tomi",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Americanah,"Adichie, Chimamanda Ngozi",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",Florida,Duval County Public Schools,December 2023,Banned pending investigation,Administration
Cool for the Summer,"Adler, Dahlia",Texas,Conroe Independent School District,October 2023,Banned,Informal Challenge
His Hideous Heart: Thirteen of Edgar Allan Poe's Most Unsettling Tales Reimagined,"Adler, Dahlia",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
A Picture Book of Anne Frank,"Adler, David A.",Florida,St. John's County School District,July 2023,Banned by restriction,Administration
Names Will Never Hurt Me,"Adoff, Jaime",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Death of Jayson Porter,"Adoff, Jaime",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Ghost House,"Adornetto, Alexandra",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Hades,"Adornetto, Alexandra",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Halo,"Adornetto, Alexandra",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Heaven,"Adornetto, Alexandra",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Prometheus Bound,Aeschylus,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Accidental Adventures of India McAllister,"Agell, Charlotte",Texas,North East Independent School District,June 2024,Banned,Administration
Flame in the Mist,"Ahdieh, Renée",Florida,Collier County Public Schools,October 2023,Banned,Administration
Smoke in the Sun,"Ahdieh, Renée",Florida,Clay County School District,February 2024,Banned,Formal Challenge
The Beautiful,"Ahdieh, Renée",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Damned,"Ahdieh, Renée",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Rose and the Dagger,"Ahdieh, Renée",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Wrath and The Dawn,"Ahdieh, Renée",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Girl Gone Viral,"Ahmadi, Arvin",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
How It All Blew Up,"Ahmadi, Arvin",Georgia,Cobb County School District,August 2023,Banned pending investigation,Administration
A Cave in the Clouds: A Young Woman's Escape from Isis,"Ahmed, Badeeah Hassan",Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration
Internment,"Ahmed, Samira",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
"Mad, Bad and Dangerous to Know","Ahmed, Samira",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Sing No Evil,"Ahonen, J.P.",Wyoming,Natrona County Schools,September 2023,Banned by restriction,Administration
Changes: A Love Story,"Aidoo, Ama Ata",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
River of Darkness,"Airth, Rennie",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Say You're One of Them,"Akpan, Uwem",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Seven Deadly Shadows,"Alameda, Courtney",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Shutter,"Alameda, Courtney",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Hazel Wood: a novel,"Albert, Melissa",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Here's to Us,"Albertalli, Becky",Florida,Clay County School District,August 2023,Banned,Formal Challenge
Kate in Waiting,"Albertalli, Becky",Florida,Clay County School District,August 2023,Banned,Formal Challenge
Leah on the Offbeat,"Albertalli, Becky",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",Florida,Collier County Public Schools,August 2023,Banned,Formal Challenge
The Upside of Unrequited,"Albertalli, Becky",Florida,Collier County Public Schools,August 2023,Banned by restriction,Formal Challenge
What If It's Us,"Albertalli, Becky",Florida,Clay County School District,October 2023,Banned pending investigation,Formal Challenge
Yes No Maybe So,"Albertalli, Becky",Florida,Clay County School District,September 2023,Banned pending investigation,Formal Challenge
Altered,"Albin, Gennifer",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Crewel,"Albin, Gennifer",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Unraveled,"Albin, Gennifer",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Sofi Mendoza's Guide to Getting Lost in Mexico,"Alegría, Malín.",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
